Average time of each delivery: 168s
Number of deliveries:          66
Percentage of deliveries made: 15%
id    volume   weight   reward   duration(s) 
1     13       25       550        100
2      3       10       579        103
3     20       26      1863        104
4     26       13      1295        104
5     19       19      1990        106
6     25        6       653        107
7     19       13      1875        107
8     10       29      1065        111
9     16       13      1718        114
10      6       29      1800        116
11     19       19       873        118
12     28        6      1065        121
13      6        6       779        122
14     29       16      1442        123
15      3       16       753        124
16     23       13       206        128
17     20       13      1542        128
18     29       13      1014        130
19      6       16      1023        132
20      6       19      1591        138
21     23        3      1396        143
22      6        6       631        145
23     29       10      1463        145
24     13       13      1679        146
25     19       13      1784        152
26      7       23       907        152
27     22       10      1079        154
28     19       22      1719        159
29     20        3      1785        160
30      7       29       598        161
31      9       13      1442        168
32     29       16      1051        169
33     25       22       580        176
34      6       26      1143        180
35     25        6       216        182
36     10       26      1843        187
37     10       13       347        187
38      7        7      1524        189
39     13       10       738        190
40     22       13       293        191
41      9       22       909        192
42     10       26       410        192
43      3       16      1456        192
44     19       22       735        193
45     16        3       477        194
46     13        6      1062        195
47      3       22      1768        195
48     16       16      1633        195
49     22       10      1848        196
50      6        6      1921        197
51     20       13       848        198
52      3       22      1662        201
53      3       13      1306        202
54     29       16       584        203
55     19       19      1956        207
56     20       10      1663        207
57     29       26      1522        215
58      3        7      1565        226
59     22       16       982        229
60      7       23      1303        229
61     16       16       772        229
62      3       13       751        234
63     29       22       561        236
64     19        6       324        237
65     29       20      1160        237
66     10       26      1229        237
