id volume peso recompensa duração(s) 
14 20 13 1542 128
19 22 16 982 229
31 29 16 1051 169
41 7 23 1303 229
44 29 20 1160 237
45 19 19 873 118
46 6 19 1591 138
47 3 10 579 103
49 16 13 1718 114
51 22 13 293 191
62 3 7 1565 226
63 25 6 216 182
69 28 6 1065 121
82 19 13 1784 152
92 13 10 738 190
93 9 22 909 192
96 25 6 653 107
97 19 22 1719 159
101 20 10 1663 207
113 10 26 410 192
114 19 22 735 193
125 10 26 1229 237
138 3 22 1662 201
143 29 10 1463 145
145 6 29 1800 116
146 7 7 1524 189
151 22 10 1079 154
153 3 16 1456 192
157 29 22 561 236
160 6 26 1143 180
164 23 13 206 128
166 6 6 631 145
172 6 16 1023 132
185 20 26 1863 104
201 13 25 550 100
209 7 23 907 152
220 26 13 1295 104
234 9 13 1442 168
239 29 13 1014 130
247 10 13 347 187
257 10 29 1065 111
268 6 6 779 122
278 29 16 584 203
280 16 3 477 194
287 20 13 848 198
290 29 16 1442 123
294 25 22 580 176
295 19 6 324 237
306 16 16 1633 195
308 20 3 1785 160
325 13 6 1062 195
328 19 19 1990 106
329 29 26 1522 215
334 19 19 1956 207
335 7 29 598 161
358 19 13 1875 107
360 3 13 1306 202
389 23 3 1396 143
395 3 13 751 234
403 16 16 772 229
415 22 10 1848 196
420 6 6 1921 197
428 13 13 1679 146
434 10 26 1843 187
438 3 22 1768 195
444 3 16 753 124
