id volume peso recompensa duração(s) 
67 9 19 1281 241
68 13 23 560 244
69 20 23 1236 246
70 3 16 1105 256
71 6 29 1859 261
72 10 19 1278 267
73 26 22 1487 269
74 19 3 762 269
75 3 13 1502 270
76 19 26 309 271
77 6 28 1820 271
78 22 13 1897 272
79 7 3 1607 273
80 19 13 1904 276
81 22 19 783 277
82 22 9 1805 279
83 19 3 1547 279
84 9 16 814 281
85 22 3 1492 283
86 25 28 1521 284
87 29 10 1657 287
88 3 3 575 287
89 22 19 602 291
90 13 3 455 292
91 20 23 204 293
92 6 6 1058 294
93 13 16 1785 297
94 28 6 1953 299
95 20 7 894 300
96 3 13 472 300
97 10 7 1801 301
98 13 3 795 302
99 3 13 1907 307
100 26 20 971 308
101 28 6 1208 309
102 22 16 644 313
103 26 6 774 314
104 3 20 1645 316
105 6 26 1991 318
106 26 20 1645 318
107 22 22 930 324
108 13 29 1511 325
109 7 13 898 325
110 29 29 1019 326
111 10 13 1315 328
112 13 10 1614 331
113 13 29 626 332
114 22 19 1628 332
115 22 25 914 337
116 16 19 1193 338
117 20 23 1325 338
118 13 23 1714 347
119 19 10 1820 348
120 3 16 220 351
121 23 23 881 353
122 19 29 1523 353
123 13 16 1838 354
124 13 13 967 355
125 19 22 1260 355
126 19 26 836 356
127 22 3 338 357
128 26 16 1303 358
129 16 13 707 359
130 3 20 1434 362
131 13 25 1026 365
132 19 3 1814 369
133 23 7 983 372
134 26 7 738 375
135 28 25 952 377
136 16 29 1883 380
137 9 6 748 381
138 25 13 1251 384
139 19 16 1319 385
140 23 29 957 387
141 23 29 1232 389
142 25 28 1909 396
143 16 6 1907 397
144 13 13 1008 398
145 10 29 1194 399
146 13 13 1714 399
147 26 16 403 402
148 16 29 1694 404
149 13 6 490 406
150 16 16 706 408
151 13 10 629 410
152 7 13 1210 414
153 25 6 647 415
154 16 23 746 416
155 10 3 1641 417
156 7 10 1672 419
157 3 19 600 422
158 10 6 542 430
159 6 19 406 430
160 26 29 1233 434
161 28 6 1636 436
162 16 29 1002 441
163 26 7 618 442
164 3 13 685 443
165 26 26 716 445
166 20 13 636 446
167 20 16 851 446
168 9 9 427 447
169 26 22 1513 447
170 25 22 471 448
171 19 22 1200 449
172 19 6 1204 453
173 16 10 1508 454
174 19 13 884 455
175 3 10 984 463
176 16 3 227 464
177 22 25 224 467
178 25 19 1889 468
179 22 19 470 470
180 10 13 414 478
181 19 25 844 478
182 23 23 1366 481
183 29 26 1724 482
184 10 10 1285 483
185 22 29 1448 487
186 28 22 1166 491
187 23 16 1936 498
188 29 20 1704 502
189 6 22 666 504
190 25 25 371 509
191 25 22 1331 509
192 16 13 1477 513
193 16 10 396 514
194 28 6 707 517
195 26 26 496 520
196 3 10 1791 520
197 16 29 1083 521
198 26 16 1296 524
199 25 19 1753 524
200 20 16 823 524
201 10 29 676 526
202 16 28 935 528
203 6 10 1572 528
204 13 29 719 531
205 25 28 1370 535
206 3 3 1563 535
207 6 3 453 537
208 3 13 1889 538
209 6 22 597 540
210 3 19 952 540
211 13 26 1253 542
212 22 10 1233 546
213 22 28 1717 549
214 6 3 1176 551
215 7 26 1166 552
216 13 9 820 552
217 22 6 683 553
218 13 6 580 558
219 28 22 330 563
220 19 19 1437 576
221 10 10 1856 576
222 10 6 1747 577
223 19 9 1059 580
224 16 22 491 581
225 3 13 633 583
226 25 22 861 590
227 25 16 1200 591
228 13 10 606 592
229 26 10 574 593
230 13 6 223 597
231 22 9 1509 598
232 23 26 1913 600
233 29 26 719 600
234 26 22 1348 605
235 23 16 868 608
236 23 7 936 609
237 6 3 1347 609
238 19 13 1537 614
239 6 22 562 614
240 19 16 1351 615
241 26 22 1065 616
242 7 16 764 617
243 19 3 638 618
244 19 3 1982 619
245 16 22 1579 619
246 19 22 1804 622
247 13 16 1894 625
248 6 19 996 631
249 10 10 553 631
250 22 13 226 631
251 3 23 571 632
252 7 26 1257 632
253 10 3 1886 632
254 10 16 1202 634
255 16 29 1730 638
256 19 13 1688 640
257 29 20 1972 641
258 16 13 1121 641
259 16 6 1332 642
260 7 7 828 643
261 26 26 1790 648
262 7 16 789 650
263 19 13 1040 651
264 16 28 1863 653
265 10 10 588 654
266 16 29 1739 656
267 16 3 262 658
268 13 22 590 660
269 16 28 1821 660
270 13 26 396 664
271 7 20 1241 674
272 9 6 1467 681
273 13 3 690 686
274 6 13 1713 686
275 3 16 501 692
276 10 19 709 692
277 13 10 483 694
278 16 6 1188 697
279 16 19 1873 697
280 16 16 878 697
281 3 23 697 699
282 16 13 367 703
283 29 20 1991 704
284 7 20 1880 705
285 3 19 1928 713
286 6 13 1201 715
287 20 10 1569 720
288 16 13 654 720
289 13 3 621 723
290 16 13 671 726
291 19 22 691 728
292 16 26 1590 728
293 13 20 1951 729
294 19 6 217 732
295 26 6 1627 732
296 3 13 355 737
297 16 3 279 744
298 19 25 1263 748
299 19 16 1489 751
300 7 26 634 751
301 22 19 287 752
302 19 3 784 755
303 19 28 213 755
304 7 20 412 756
305 19 6 1813 756
306 3 16 1796 762
307 22 3 1565 763
308 22 13 667 765
309 10 3 547 766
310 22 22 265 766
311 22 16 1819 768
312 29 10 243 775
313 26 29 267 777
314 19 22 1440 777
315 19 28 512 778
316 19 25 305 782
317 6 22 794 783
318 3 3 699 786
319 3 10 1475 786
320 6 19 486 789
321 29 23 1148 789
322 19 25 854 790
323 22 28 1002 795
324 7 7 501 800
325 13 13 1710 800
326 25 28 221 802
327 23 20 1536 804
328 22 25 1227 810
329 20 13 1054 815
330 25 28 724 816
331 29 16 1369 817
332 13 3 203 818
333 16 3 836 819
334 6 19 1185 822
335 7 29 743 826
336 28 19 1240 826
337 3 19 585 827
338 22 29 1500 828
339 29 29 969 833
340 26 26 1170 838
341 13 20 1925 840
342 19 28 486 840
343 22 16 1598 841
344 19 16 1012 845
345 3 16 1391 846
346 22 16 1175 863
347 19 16 1967 865
348 3 3 355 869
349 6 16 647 872
350 16 6 755 874
351 16 29 1142 878
352 19 9 1897 881
353 16 29 1593 882
354 16 10 1309 888
355 28 19 828 888
356 13 6 1475 889
357 3 13 1210 892
358 20 20 418 893
359 22 22 318 898
360 6 6 442 900
361 6 10 465 900
362 6 29 834 900
363 23 29 1789 900
364 9 22 452 901
365 3 20 1263 905
366 3 13 530 916
367 26 29 610 917
368 7 13 734 917
369 28 9 1185 918
370 16 16 287 918
371 7 10 801 919
372 6 10 713 921
373 13 29 1255 923
374 26 22 1628 925
375 13 6 1987 926
376 13 26 1639 927
377 16 29 533 935
378 13 3 466 937
379 3 22 940 937
380 23 26 1520 942
381 10 13 419 950
382 22 13 709 953
383 7 3 1823 958
384 7 10 1630 963
385 20 7 386 964
386 10 22 1694 969
387 10 6 1765 970
388 6 3 615 970
389 29 29 763 971
390 6 19 1243 977
391 3 3 715 977
392 3 19 901 980
393 3 19 754 984
394 19 22 1897 986
395 20 23 1551 986
396 25 28 521 989
397 20 16 1200 991
398 23 23 1382 991
399 23 20 437 996
400 9 19 775 997
401 28 16 827 999
402 16 19 234 1001
403 25 16 620 1002
404 9 25 849 1008
405 9 25 1529 1008
406 26 26 1261 1009
407 19 3 522 1009
408 28 16 327 1010
409 6 6 1445 1014
410 6 6 564 1017
411 13 9 1857 1017
412 9 9 1137 1019
413 13 6 1699 1020
414 19 28 946 1021
415 16 3 704 1025
416 13 23 916 1026
