volume peso recompensa duração(s) 
29 29 763 971
29 29 969 833
29 29 1019 326
26 29 267 777
26 29 610 917
29 26 1522 215
29 26 1724 482
26 29 1233 434
29 26 719 600
25 28 1370 535
25 28 221 802
25 28 521 989
25 28 1521 284
25 28 1909 396
25 28 724 816
28 25 952 377
26 26 1790 648
26 26 1261 1009
26 26 496 520
26 26 1170 838
26 26 716 445
23 29 1789 900
23 29 1232 389
23 29 957 387
29 23 1148 789
22 29 1448 487
22 29 1500 828
29 22 561 236
25 25 371 509
28 22 1166 491
28 22 330 563
22 28 1002 795
22 28 1717 549
22 28 347 1058
23 26 1594 1052
23 26 1520 942
23 26 1913 600
29 20 1704 502
29 20 1972 641
29 20 1160 237
29 20 1991 704
26 22 1165 1100
26 22 1628 925
26 22 1065 616
26 22 1487 269
26 22 1513 447
26 22 1348 605
19 29 1523 353
29 19 1268 1095
25 22 1331 509
22 25 224 467
25 22 471 448
22 25 1227 810
25 22 580 176
22 25 914 337
25 22 861 590
28 19 828 888
19 28 946 1021
19 28 512 778
19 28 213 755
19 28 486 840
28 19 1240 826
23 23 881 353
23 23 1382 991
23 23 1366 481
26 20 1645 318
26 20 971 308
20 26 1863 104
19 26 309 271
19 26 836 356
26 19 1397 1043
26 19 244 1055
22 22 318 898
22 22 626 1048
22 22 930 324
22 22 265 766
25 19 1753 524
19 25 1263 748
19 25 305 782
19 25 844 478
19 25 854 790
25 19 1889 468
16 29 1002 441
29 16 1051 169
16 29 1694 404
16 29 1593 882
16 29 1739 656
16 29 1883 380
29 16 1369 817
16 29 1142 878
16 29 533 935
29 16 1442 123
16 29 1730 638
16 29 1083 521
29 16 584 203
20 23 1551 986
20 23 204 293
23 20 1786 1041
20 23 1325 338
23 20 437 996
20 23 1236 246
23 20 1536 804
16 28 935 528
16 28 1821 660
28 16 327 1010
16 28 875 1094
16 28 1863 653
28 16 827 999
19 22 1804 622
22 19 470 470
19 22 691 728
22 19 783 277
19 22 1260 355
19 22 735 193
19 22 1897 986
22 19 1628 332
19 22 1200 449
22 19 287 752
19 22 1440 777
22 19 602 291
19 22 1719 159
26 16 1296 524
16 26 1789 1077
26 16 403 402
26 16 1303 358
16 26 1590 728
25 16 620 1002
25 16 1200 591
20 20 418 893
13 29 1511 325
13 29 719 531
29 13 1014 130
13 29 1255 923
13 29 626 332
16 23 746 416
23 16 868 608
23 16 1918 1042
23 16 1936 498
19 19 1437 576
19 19 873 118
19 19 1956 207
19 19 1990 106
16 22 491 581
22 16 1175 863
22 16 1598 841
16 22 1579 619
22 16 1819 768
22 16 644 313
22 16 982 229
13 26 1639 927
26 13 1295 104
13 26 1073 1066
13 26 396 664
13 26 1253 542
13 25 1026 365
13 25 550 100
25 13 1251 384
25 13 609 1070
25 13 546 1056
13 25 1467 1058
20 16 851 446
16 20 816 1079
20 16 823 524
20 16 1200 991
19 16 1319 385
19 16 1967 865
19 16 1012 845
16 19 1193 338
16 19 1873 697
16 19 234 1001
19 16 1489 751
19 16 1351 615
23 13 206 128
13 23 1714 347
13 23 560 244
13 23 916 1026
10 29 1065 111
29 10 1463 145
10 29 676 526
29 10 1657 287
29 10 483 1038
10 29 1194 399
29 10 243 775
10 29 1488 1094
22 13 667 765
22 13 226 631
22 13 293 191
22 13 709 953
22 13 1897 272
13 22 590 660
13 20 1951 729
10 26 1843 187
20 13 1542 128
13 20 1925 840
10 26 1229 237
20 13 636 446
26 10 574 593
10 26 410 192
20 13 848 198
20 13 1054 815
16 16 287 918
16 16 772 229
16 16 1633 195
16 16 706 408
16 16 878 697
16 16 527 1100
28 9 1185 918
19 13 1688 640
19 13 1537 614
19 13 1784 152
19 13 1875 107
19 13 1040 651
19 13 884 455
19 13 1904 276
10 23 1205 1088
9 25 849 1008
9 25 1529 1008
22 10 1848 196
22 10 1233 546
10 22 1694 969
22 10 1079 154
13 16 1838 354
16 13 671 726
16 13 1718 114
16 13 1477 513
16 13 707 359
13 16 1894 625
13 16 1785 297
16 13 367 703
16 13 1121 641
16 13 654 720
7 29 743 826
7 29 598 161
20 10 1663 207
20 10 1569 720
22 9 1509 598
9 22 909 192
9 22 452 901
22 9 1805 279
10 19 709 692
10 19 1278 267
19 10 1820 348
26 7 738 375
26 7 618 442
7 26 1257 632
7 26 634 751
7 26 1166 552
6 29 834 900
6 29 1859 261
6 29 1800 116
9 19 1281 241
19 9 1059 580
19 9 1897 881
9 19 775 997
13 13 1714 399
13 13 1008 398
13 13 1679 146
13 13 967 355
13 13 1710 800
28 6 1953 299
28 6 707 517
28 6 1636 436
6 28 1820 271
28 6 1065 121
28 6 1208 309
23 7 936 609
23 7 983 372
7 23 907 152
7 23 1303 229
16 10 1309 888
16 10 396 514
16 10 1508 454
16 10 1081 1064
10 16 1202 634
26 6 774 314
6 26 1991 318
6 26 1291 1035
26 6 1627 732
6 26 1143 180
26 6 1156 1073
25 6 216 182
25 6 647 415
25 6 653 107
9 16 814 281
20 7 386 964
20 7 894 300
7 20 1241 674
7 20 1577 1043
7 20 1880 705
7 20 412 756
22 6 683 553
6 22 666 504
6 22 794 783
6 22 562 614
6 22 597 540
10 13 414 478
10 13 1315 328
10 13 419 950
13 10 738 190
13 10 606 592
13 10 1614 331
13 10 629 410
13 10 483 694
10 13 347 187
