  maxVolume   maxWeight   cost 
     255         275      13025
     285         258      13044
     394         379      13241
     259         354      13356
     253         386      13481
     365         301      13406
     325         316      13378
     288         346      13476
     370         366      13618
     296         271      13742
     355         322      13718
     391         395      13796
     308         371      13865
     397         321      13931
     310         387      14105
     344         306      14015
     382         304      14967
     336         345      14342
     388         268      14521
     277         399      14862
     309         377      15136
     360         331      15444
     335         381      15531
     328         398      13956
     292         289      14548
     281         287      14581
     268         346      14777
     256         289      14860
     378         272      15057
     258         289      14932
     265         274      14952
     398         378      15048
     385         254      14819
     343         277      15226
     366         375      15556
     287         342      15977
     262         389      15106
     335         265      15168
     262         384      15363
     394         351      15473
     287         304      15787
     335         383      16287
     376         262      16090
     259         310      16154
     393         377      16543
     292         316      16581
     368         308      16575
     395         315      16790
     278         386      16833
     365         259      16982
